date,open,close,high,low,volume
2021-7-26,0.42541066,0.419874038,0.441678035,0.411015362,0.295119481
2021-7-27,0.401273885,0.368789363,0.409618008,0.40389659,0.172668973
2021-7-28,0.348307073,0.386983905,0.383015007,0.353690521,0.17230092
2021-7-29,0.391552129,0.379636109,0.393587995,0.405395279,0.145182375
2021-7-30,0.358364063,0.39363191,0.376193724,0.373922818,0.154265384
2021-8-2,0.360375461,0.436319104,0.424283765,0.394155114,0.214954071
2021-8-3,0.43211532,0.468159552,0.466575716,0.471712252,0.260265932
2021-8-4,0.44552464,0.461161652,0.437244202,0.46796553,0.158861147
2021-8-5,0.436138116,0.423722883,0.451227831,0.460472087,0.125567764
2021-8-6,0.398592021,0.412876137,0.396998636,0.428624953,0.107727796
2021-8-9,0.387529333,0.453463961,0.435538881,0.431247658,0.140209108
2021-8-10,0.422393564,0.467109867,0.451909959,0.461596103,0.242592726
2021-8-11,0.452899765,0.415325402,0.443383356,0.45410266,0.179599144
2021-8-12,0.399262487,0.418824353,0.410982265,0.444735856,0.091838845
2021-8-13,0.405967147,0.397480756,0.402114598,0.433121019,0.085275288
2021-8-16,0.383506537,0.480755773,0.47680764,0.433495691,0.313394654
2021-8-17,0.465638619,0.489153254,0.508867667,0.509179468,0.35561909
2021-8-18,0.473013745,0.44996501,0.471691678,0.460472087,0.214666014
2021-8-19,0.425745893,0.516095171,0.513642565,0.482952417,0.306814077
2021-8-20,0.492457258,0.478306508,0.48431105,0.481079056,0.262325508
2021-8-23,0.453905464,0.450314906,0.449863574,0.466841514,0.145984764
2021-8-24,0.433791485,0.429671099,0.449181446,0.464218809,0.177966544
2021-8-25,0.381830372,0.365990203,0.371077763,0.397527164,0.262357879
2021-8-26,0.339926249,0.245276417,0.328785812,0.274260022,0.490709773
2021-8-27,0.227623198,0.250874738,0.246589359,0.247658299,0.197996182
2021-8-30,0.247737177,0.264170749,0.260231924,0.238291495,0.184944008
2021-8-31,0.257458934,0.227781666,0.244884038,0.250281004,0.122342356
2021-9-1,0.222594703,0.246326102,0.244884038,0.237542151,0.156480023
2021-9-2,0.233657392,0.226382085,0.237380628,0.246908955,0.107793827
2021-9-3,0.217566209,0.233729881,0.244884038,0.241288872,0.120968396
2021-9-6,0.230975528,0.275017495,0.262960437,0.254402398,0.165751173
2021-9-7,0.260476031,0.270818754,0.268076398,0.289246909,0.097964861
2021-9-8,0.263828361,0.258222533,0.257844475,0.286624204,0.073845401
2021-9-9,0.251759973,0.251574528,0.256821282,0.271262645,0.065603554
2021-9-10,0.234327858,0.229181246,0.227830832,0.248407643,0.118918543
2021-9-13,0.223265169,0.22253324,0.225784447,0.239790184,0.098156899
2021-9-14,0.21656051,0.216585024,0.223396999,0.242412889,0.092436765
2021-9-15,0.214213879,0.182645206,0.203274216,0.204571,0.135181453
2021-9-16,0.179349648,0.178796361,0.184515689,0.19932559,0.081655635
2021-9-17,0.175997318,0.194191742,0.183492497,0.164481079,0.171518641
2021-9-22,0.166610795,0.201189643,0.186562074,0.19070813,0.068848881
2021-9-23,0.197116996,0.196990903,0.202251023,0.215061821,0.080839376
2021-9-24,0.186724774,0.22323303,0.226125512,0.210191083,0.147390844
2021-9-27,0.214213879,0.228481456,0.241473397,0.219932559,0.173620432
2021-9-28,0.21656051,0.199090273,0.202933151,0.217309854,0.078513434
2021-9-29,0.182031512,0.173547936,0.194406548,0.197077557,0.073256354
2021-9-30,0.18069058,0.190342897,0.175648022,0.200074934,0.04658744
2021-10-8,0.210526316,0.294261721,0.273874488,0.239790184,0.156709918
2021-10-11,0.305732484,0.320503849,0.328785812,0.341701012,0.379187394
2021-10-12,0.311431445,0.367389783,0.381309686,0.329711502,0.438382727
2021-10-13,0.330204492,0.350594822,0.363574352,0.363806669,0.284191502
2021-10-14,0.337914851,0.325052484,0.345156889,0.344698389,0.184229192
2021-10-15,0.304726785,0.322253324,0.312414734,0.330835519,0.142923083
2021-10-18,0.305397251,0.308607418,0.313096862,0.330460847,0.106648539
2021-10-19,0.295675494,0.310706788,0.307639836,0.32933683,0.109941221
2021-10-20,0.314448542,0.353393982,0.346521146,0.344698389,0.212007344
2021-10-21,0.331210191,0.329951015,0.32946794,0.354065193,0.125102966
2021-10-22,0.31310761,0.305108467,0.3079809,0.337204946,0.089611835
2021-10-25,0.290311767,0.313505948,0.295361528,0.321094043,0.075163514
2021-10-26,0.298692591,0.306158153,0.314802183,0.336830274,0.07974762
2021-10-27,0.340596715,0.33379986,0.348908595,0.36043462,0.199798999
2021-10-28,0.321823667,0.383484955,0.38744884,0.359310603,0.331561873
2021-10-29,0.371773383,0.433869839,0.432469304,0.404271263,0.34010691
2021-11-1,0.42876299,0.431420574,0.435538881,0.456725365,0.214280078
2021-11-2,0.405296681,0.425122463,0.444065484,0.458973398,0.22892927
2021-11-3,0.417029836,0.427221833,0.429058663,0.460472087,0.10502596
2021-11-4,0.410325176,0.427571728,0.415416098,0.439115774,0.165770291
2021-11-5,0.405296681,0.382785164,0.401773533,0.422255526,0.129818333
2021-11-8,0.361716393,0.372988104,0.357435198,0.380292244,0.094018066
2021-11-9,0.365068723,0.382785164,0.379604366,0.411015362,0.07810612
2021-11-10,0.378478042,0.38453464,0.393587995,0.408392656,0.113561438
2021-11-11,0.365068723,0.376836949,0.371077763,0.402772574,0.080944458
2021-11-12,0.381495139,0.404478656,0.397680764,0.411764706,0.124735361
2021-11-15,0.391216896,0.44716585,0.435197817,0.44023979,0.186419989
2021-11-16,0.436473349,0.426871938,0.441336971,0.464218809,0.154706929
2021-11-17,0.41300704,0.456263121,0.43212824,0.457100037,0.150995072
2021-11-18,0.43546765,0.439818055,0.427353342,0.475084301,0.088242729
2021-11-19,0.436473349,0.444716585,0.442360164,0.475458973,0.102406171
2021-11-22,0.415353671,0.416375087,0.411323329,0.447358561,0.124348861
2021-11-23,0.395574925,0.405178446,0.404502046,0.436118396,0.080954486
2021-11-24,0.385853168,0.382085374,0.38744884,0.392281753,0.126857736
2021-11-25,0.368421053,0.38453464,0.373465211,0.407643312,0.053206715
2021-11-26,0.369426752,0.344646606,0.361186903,0.381041589,0.088591936
2021-11-29,0.350653704,0.333449965,0.366984993,0.364556013,0.114677777
2021-11-30,0.324170298,0.337648705,0.330150068,0.359310603,0.090889369
2021-12-1,0.341267181,0.361441568,0.345839018,0.376170851,0.074208403
2021-12-2,0.346630908,0.339398181,0.342087312,0.373548145,0.052189973
2021-12-3,0.329534026,0.372988104,0.367326057,0.363431997,0.098451324
2021-12-6,0.363392558,0.353393982,0.352319236,0.382165605,0.047234134
2021-12-7,0.343278579,0.370188943,0.351637108,0.383664294,0.052491683
2021-12-8,0.355346966,0.372638209,0.354024557,0.393780442,0.041027503
2021-12-9,0.36473349,0.420223933,0.412687585,0.409891345,0.211250354
2021-12-10,0.398592021,0.410076977,0.407571623,0.440614462,0.109374327
2021-12-13,0.398592021,0.431420574,0.409618008,0.442487823,0.103805136
2021-12-14,0.415018438,0.435269419,0.430763984,0.463094792,0.130203998
2021-12-15,0.421387865,0.407277817,0.418826739,0.445859873,0.110370919
2021-12-16,0.385853168,0.421973408,0.406889495,0.437991757,0.093679233
2021-12-17,0.407643312,0.396081176,0.404502046,0.434245036,0.063797464
2021-12-20,0.375460945,0.364940518,0.383015007,0.401273885,0.053402005
2021-12-21,0.365403956,0.420923723,0.410300136,0.408017984,0.131299277
2021-12-22,0.415353671,0.439818055,0.420190996,0.458973398,0.100840526
2021-12-23,0.418706001,0.419874038,0.418144611,0.452978644,0.062926397
2021-12-24,0.406637613,0.467809657,0.456343793,0.454477332,0.216928056
2021-12-27,0.462956755,0.512596221,0.490109141,0.50093668,0.223961801
2021-12-28,0.486087831,0.505948216,0.496589359,0.535406519,0.147926419
2021-12-29,0.499161918,0.55843247,0.534447476,0.554140127,0.266648708
2021-12-30,0.537713711,0.578376487,0.577421555,0.588609966,0.247727676
2021-12-31,0.565873282,0.55843247,0.558663029,0.597227426,0.14918256
2022-1-4,0.539389876,0.631210637,0.61255116,0.603971525,0.242331785
2022-1-5,0.600067047,0.618264521,0.60675307,0.647058824,0.130596519
2022-1-6,0.591686222,0.603568929,0.592087312,0.595354065,0.177309504
2022-1-7,0.582634931,0.670048985,0.668485675,0.648557512,0.261450829
2022-1-10,0.646664432,0.618964311,0.648021828,0.670288498,0.151179778
2022-1-11,0.58699296,0.618614416,0.636766712,0.6568003,0.110720017
2022-1-12,0.58699296,0.594471659,0.597544338,0.626451855,0.113086958
2022-1-13,0.573583641,0.548635409,0.580491132,0.598351442,0.116488782
2022-1-14,0.514247402,0.515745276,0.532742156,0.557886849,0.125442912
2022-1-17,0.550117332,0.545486354,0.578785812,0.587860622,0.121048909
2022-1-18,0.532685216,0.519594122,0.531036835,0.565380292,0.066542486
2022-1-19,0.502179014,0.49510147,0.502387449,0.529037093,0.073812894
2022-1-20,0.487428763,0.488103569,0.491132333,0.529786437,0.050368492
2022-1-21,0.478377472,0.458012596,0.471691678,0.502060697,0.059102627
2022-1-24,0.405967147,0.454163751,0.444406548,0.450730611,0.066583778
2022-1-25,0.437814281,0.411826452,0.441678035,0.452978644,0.052732602
2022-1-26,0.409319477,0.412176347,0.405184175,0.436118396,0.035607592
2022-1-27,0.39959772,0.382435269,0.39324693,0.411764706,0.038652198
2022-1-28,0.380824673,0.432470259,0.435538881,0.433121019,0.095868692
2022-2-7,0.45792826,0.448215535,0.48431105,0.479580367,0.071546888
2022-2-8,0.433791485,0.481455563,0.478854025,0.469089547,0.082170354
2022-2-9,0.465638619,0.496151155,0.490109141,0.503559386,0.103977601
2022-2-10,0.479718404,0.482505248,0.482946794,0.514050206,0.053609271
2022-2-11,0.466644318,0.420573828,0.457366985,0.452978644,0.099127713
2022-2-14,0.398927254,0.413575927,0.408594816,0.440989135,0.031629139
2022-2-15,0.401273885,0.473058083,0.466234652,0.455601349,0.087212082
2022-2-16,0.466309085,0.455213436,0.462482947,0.491569876,0.041093779
2022-2-17,0.439825679,0.437718684,0.438949523,0.475833646,0.041593806
2022-2-18,0.410325176,0.439818055,0.416780355,0.453353316,0.02266936
2022-2-21,0.419041234,0.433869839,0.424965894,0.460846759,0.024236478
2022-2-22,0.408649011,0.365640308,0.398703956,0.392281753,0.126227459
2022-2-23,0.365739189,0.459062281,0.451227831,0.415136755,0.155151876
2022-2-24,0.444183708,0.457312806,0.444747613,0.469089547,0.094705507
2022-2-25,0.454911163,0.474807558,0.492837653,0.515923567,0.117493603
2022-2-28,0.469326182,0.477606718,0.473055935,0.50430873,0.038046498
2022-3-1,0.458933959,0.451714486,0.44952251,0.488947171,0.050876904
